PROD_ID,PROMO_ID,UNIT_COST,UNIT_PRICE
13,999,813.07,1237.31
14,999,886.45,1108.99
14,999,863.64,1108.99
14,999,875.1,1259.99
14,999,863.64,1124.52
14,999,863.64,1124.52
14,999,863.64,1176.23
14,999,904.18,1176.23
15,999,846.71,999.99
15,999,875.22,1013.99
15,999,846.71,999.99
15,999,846.71,1013.99
15,999,904.18,999.99
15,999,863.64,999.99
15,999,908.8,1003.49
15,999,903.41,1003.49
15,999,908.8,1003.49
15,999,903.41,1003.49
17,999,957.04,1495.99
17,999,988.79,1550.99
17,999,988.79,1550.99
18,999,1100.73,1552.83
18,999,1133.3,1632.79
18,999,1152.39,1552.83
18,999,1137.64,1728.99
18,999,1122.74,1531.39
18,999,1170.86,1674.39
19,999,48.71,62.4
19,999,48.71,63.02
19,999,49.34,63.02
19,999,50.33,63.02
19,999,49.68,63.02
19,999,49,63.02
20,999,522.02,599.99
20,999,528.76,608.39
20,999,532.46,599.99
20,999,532.46,599.99
20,999,532.46,599.99
20,999,542.05,602.09
21,999,787.7,1052.99
21,999,787.7,1067.73
21,999,797.81,1067.73
21,999,803.45,1067.73
21,999,777.28,1067.73
21,999,813.77,1067.73
21,999,803.45,1075.95
21,999,777.28,1075.95
22,999,21.87,26.61
22,999,21.87,26.61
22,999,22.18,26.29
22,999,21.58,26.56
22,999,22.6,26.61
22,999,22.91,26.34
22,999,22.31,26.61
22,999,22.31,26.61
23,999,19.13,24.08
23,999,19.51,23.75
23,999,19.51,23.75
23,999,19.51,23.75
24,999,40.53,48.75
24,999,40.01,49.34
24,999,39.46,49.43
24,999,41.34,49.43
24,999,41.34,49.43
24,999,40.25,48.66
24,999,40.25,48.75
24,999,41.34,49.43
24,999,40.25,49.34
24,999,40.81,49.43
24,999,41.34,49.34
24,999,40.81,49.43
24,999,40.25,48.75
24,999,40.81,48.75
24,999,41.34,49.43
24,999,40.81,49.43
25,999,98.3,128.32
25,999,102.07,126.99
25,999,100.27,128.32
25,999,100.27,128.32
25,999,101.57,126.55
26,999,130.5,167.99
26,999,135.51,168.58
26,999,133.11,170.34
27,999,40.48,48.78
28,999,174,216.99
28,999,174,216.99
28,999,180.67,214.74
28,999,179.97,214.85
28,999,180.67,214.74
29,999,437.61,553.99
29,999,443.22,552.11
29,999,443.22,561.75
29,999,423.35,561.75
29,999,437.61,561.75
29,999,452.08,561.75
29,999,452.08,561.75
29,999,431.82,552.11
29,999,446.36,561.75
29,999,446.36,553.99
30,999,8.69,10.79
30,999,8.84,10.83
30,999,8.74,10.79
30,999,8.86,10.94
30,999,8.86,10.79
30,999,8.98,10.79
30,999,8.86,10.79
31,999,7.84,9.74
31,999,7.92,9.71
31,999,8.13,9.74
32,999,59.16,74.46
32,999,60.34,73.43
34,999,35,43.56
34,999,35,42.96
34,999,33.86,43.56
34,999,35.94,46.23
34,999,35.49,46.23
34,999,35.94,46.23
34,999,36.6,44.95
34,999,36.12,44.95
35,999,43.5,56.99
35,999,46.19,54.92
35,999,43.76,53.7
35,999,44.31,54.92
35,999,43.76,54.45
35,999,45.11,53.89
35,999,42.33,54.92
35,999,47.11,54.16
35,999,47.11,54.16
35,999,43.18,54.45
35,999,43.78,53.91
35,999,44.93,56.99
35,999,44.37,55.99
35,999,44.37,56.77
36,999,38.09,49.01
36,999,39.37,49.01
36,999,39.65,52.01
36,999,39.37,48.33
36,999,39.92,51.29
36,999,39.92,51.29
36,999,39.92,51.29
36,999,39.92,52.01
36,999,39.92,51.1
36,999,40.44,50.39
36,999,39.92,51.1
37,999,46.56,59.91
37,999,48.12,59.91
37,999,49.62,59.29
37,999,48.75,59.91
37,999,48.12,59.91
37,999,46.56,59.91
37,999,49.73,60.41
